Date,Open,High,Low,Close,Adj Close,Volume
2021-04-29,29268.210938,29405.119141,29162.869141,29303.259766,29303.259766,1838135800
2021-04-30,29143.429688,29154.750000,28701.689453,28724.880859,28724.880859,2577584300
2021-05-03,28659.910156,28684.830078,28256.029297,28357.539063,28357.539063,1725985500
2021-05-04,28438.150391,28577.519531,28321.339844,28557.140625,28557.140625,1921124800
2021-05-05,28427.669922,28677.359375,28325.960938,28417.980469,28417.980469,1720837700
2021-05-06,28647.970703,28753.970703,28384.119141,28637.460938,28637.460938,2478819000
2021-05-07,28721.130859,28884.029297,28530.710938,28610.650391,28610.650391,2205337100
2021-05-10,28776.990234,28842.109375,28453.140625,28595.660156,28595.660156,2358822100
2021-05-11,28286.560547,28286.560547,27910.710938,28013.810547,28013.810547,2383355200
2021-05-12,28073.919922,28231.039063,27897.470703,28231.039063,28231.039063,2132315300
2021-05-13,27920.009766,28060.929688,27718.669922,27718.669922,27718.669922,2167381500
2021-05-14,27872.689453,28064.009766,27715.880859,28027.570313,28027.570313,1880805200
2021-05-17,28130.509766,28268.390625,28074.140625,28194.089844,28194.089844,1857027900
2021-05-18,28438.029297,28617.339844,28438.029297,28593.810547,28593.810547,2065990000
2021-05-20,28413.490234,28508.240234,28293.230469,28450.289063,28450.289063,2465835400
2021-05-21,28584.339844,28584.339844,28286.919922,28458.439453,28458.439453,1653241900
2021-05-24,28417.990234,28444.359375,28195.519531,28412.259766,28412.259766,1719640600
2021-05-25,28461.500000,28929.240234,28461.500000,28910.859375,28910.859375,2352077900
2021-05-26,29056.279297,29261.859375,29027.949219,29166.009766,29166.009766,2518538400
2021-05-27,28998.390625,29157.949219,28950.720703,29113.199219,29113.199219,3804955000
2021-05-28,29219.460938,29336.130859,29033.720703,29124.410156,29124.410156,2591559500
2021-05-31,29225.460938,29225.460938,28909.519531,29151.800781,29151.800781,2188580800
2021-06-01,29159.060547,29480.160156,29036.449219,29468.000000,29468.000000,1832036700
2021-06-02,29414.640625,29490.609375,29208.730469,29297.619141,29297.619141,1933160400
2021-06-03,29365.320313,29377.900391,28902.669922,28966.029297,28966.029297,2241752500
2021-06-04,28837.949219,29023.179688,28737.970703,28918.099609,28918.099609,3054579800
2021-06-07,28985.599609,29003.990234,28615.609375,28787.279297,28787.279297,2573174300
2021-06-08,28900.519531,28979.199219,28638.310547,28781.380859,28781.380859,1626863000
2021-06-09,28771.140625,28859.580078,28687.689453,28742.630859,28742.630859,1807028800
2021-06-10,28792.019531,28954.400391,28664.939453,28738.880859,28738.880859,1940104600
2021-06-11,28864.900391,28965.150391,28743.820313,28842.130859,28842.130859,2038619100
2021-06-15,28946.439453,28946.439453,28453.480469,28638.529297,28638.529297,2376459800
2021-06-16,28609.369141,28648.640625,28403.640625,28436.839844,28436.839844,2053818800
2021-06-17,28240.880859,28558.589844,28216.089844,28558.589844,28558.589844,1888022000
2021-06-18,28586.039063,28830.849609,28532.080078,28801.269531,28801.269531,3761375200
2021-06-21,28501.640625,28590.220703,28314.929688,28489.000000,28489.000000,2182673000
2021-06-22,28575.160156,28579.000000,28299.660156,28309.759766,28309.759766,1980080400
2021-06-23,28468.240234,28893.789063,28406.609375,28817.070313,28817.070313,2293387200
2021-06-24,28865.460938,28993.369141,28782.339844,28882.460938,28882.460938,1723216500
2021-06-25,29002.669922,29305.169922,28971.599609,29288.220703,29288.220703,2149434300
2021-06-28,29366.490234,29394.689453,29209.429688,29268.300781,29268.300781,1512611100
2021-06-29,29291.890625,29291.890625,28924.609375,28994.099609,28994.099609,2356507100
2021-06-30,29107.900391,29146.279297,28827.699219,28827.949219,28827.949219,2051503700
2021-07-02,28859.019531,28859.019531,28231.730469,28310.419922,28310.419922,2816172700
2021-07-05,28098.910156,28338.789063,28042.710938,28143.500000,28143.500000,1827212600
2021-07-06,28136.630859,28151.349609,27904.529297,28072.859375,28072.859375,1904176200
2021-07-07,27777.810547,27969.410156,27703.410156,27960.619141,27960.619141,2040702300
2021-07-08,27881.500000,27921.060547,27110.619141,27153.130859,27153.130859,2948605700
2021-07-09,27131.570313,27450.789063,26861.869141,27344.539063,27344.539063,2499976900
2021-07-12,27672.699219,27741.189453,27420.349609,27515.240234,27515.240234,2054164700
2021-07-13,27694.029297,28052.320313,27612.689453,27963.410156,27963.410156,1995588400
2021-07-14,27965.390625,27965.390625,27708.710938,27787.460938,27787.460938,1865663700
2021-07-15,27801.400391,28181.210938,27741.089844,27996.269531,27996.269531,2081493200
2021-07-16,27972.560547,28218.529297,27878.529297,28004.679688,28004.679688,1968819100
2021-07-19,27786.539063,27786.539063,27397.289063,27489.779297,27489.779297,1874176200
2021-07-20,27395.830078,27532.859375,27121.490234,27259.250000,27259.250000,2263380800
2021-07-21,27339.220703,27371.500000,26971.029297,27224.580078,27224.580078,1672533000
2021-07-22,27464.279297,27759.710938,27455.429688,27723.839844,27723.839844,1807199700
2021-07-23,27740.949219,27740.949219,27222.039063,27321.980469,27321.980469,1182745200
2021-07-26,26825.730469,26878.750000,26177.400391,26192.320313,26192.320313,2695215700
2021-07-27,26011.509766,26323.609375,24748.839844,25086.429688,25086.429688,4657383800
2021-07-28,25356.740234,25520.750000,24848.429688,25473.880859,25473.880859,3391837700
2021-07-29,26221.359375,26335.359375,25857.419922,26315.320313,26315.320313,3272154400
2021-07-30,26042.839844,26151.000000,25636.890625,25961.029297,25961.029297,2425058800
2021-08-02,26054.810547,26300.550781,25743.089844,26235.800781,26235.800781,1768640300
2021-08-03,26289.060547,26289.060547,25774.619141,26194.820313,26194.820313,2010033900
2021-08-04,26161.830078,26650.820313,26009.830078,26426.550781,26426.550781,1776527400
2021-08-05,26390.009766,26569.369141,26126.369141,26204.689453,26204.689453,1695648000
2021-08-06,26262.970703,26276.869141,26002.410156,26179.400391,26179.400391,1559626600
2021-08-09,25969.230469,26527.240234,25920.849609,26283.400391,26283.400391,1585113300
2021-08-10,26456.609375,26610.949219,26138.869141,26605.619141,26605.619141,1735296200
2021-08-11,26491.740234,26822.470703,26454.449219,26660.160156,26660.160156,2414411900
2021-08-12,26623.769531,26713.240234,26385.449219,26517.820313,26517.820313,1655017900
2021-08-13,26296.189453,26521.949219,26200.240234,26391.619141,26391.619141,1336188100
2021-08-16,26365.189453,26449.710938,26046.900391,26181.460938,26181.460938,1648288100
2021-08-17,26137.900391,26258.789063,25615.380859,25745.869141,25745.869141,2291305400
2021-08-18,25800.029297,26025.140625,25708.949219,25867.009766,25867.009766,1756860900
2021-08-19,25787.839844,25832.919922,25183.669922,25316.330078,25316.330078,2312886900
2021-08-20,25241.320313,25244.750000,24581.599609,24849.720703,24849.720703,2855825700
2021-08-23,25169.449219,25458.330078,25036.990234,25109.589844,25109.589844,2184980400
2021-08-24,25428.679688,25727.919922,25361.750000,25727.919922,25727.919922,2052904800
2021-08-25,25930.050781,25982.640625,25548.470703,25693.949219,25693.949219,1716375300
2021-08-26,25673.779297,25706.619141,25255.830078,25415.689453,25415.689453,1834106600
2021-08-27,25337.550781,25641.330078,25304.619141,25407.890625,25407.890625,1528046000
2021-08-30,25406.490234,25583.589844,25219.800781,25539.539063,25539.539063,1995641000
2021-08-31,25524.230469,25878.990234,25110.720703,25878.990234,25878.990234,2918149900
2021-09-01,25871.820313,26101.949219,25694.109375,26028.289063,26028.289063,2181283600
2021-09-02,26203.519531,26359.310547,25967.980469,26090.429688,26090.429688,2024344100
2021-09-03,26022.669922,26052.810547,25811.769531,25901.990234,25901.990234,2549365400
2021-09-06,25827.169922,26176.429688,25827.169922,26163.630859,26163.630859,1912471300
2021-09-07,26207.220703,26458.880859,26135.400391,26353.630859,26353.630859,1842232900
2021-09-08,26396.109375,26560.039063,26164.789063,26320.929688,26320.929688,1861322900
2021-09-09,26076.929688,26125.089844,25624.519531,25716.000000,25716.000000,2090788600
2021-09-10,25870.710938,26205.910156,25870.710938,26205.910156,26205.910156,2001317000
2021-09-13,25885.300781,25886.900391,25570.839844,25813.810547,25813.810547,2315555200
2021-09-14,25827.699219,25900.679688,25377.830078,25502.230469,25502.230469,2398954000
2021-09-15,25310.029297,25411.910156,24990.939453,25033.210938,25033.210938,2420861000
2021-09-16,25042.029297,25045.550781,24505.210938,24667.849609,24667.849609,2499818200
2021-09-17,24589.169922,24920.759766,24424.740234,24920.759766,24920.759766,3102312100
2021-09-20,24640.429688,24640.429688,23871.839844,24099.140625,24099.140625,2651590600
2021-09-21,23867.160156,24284.869141,23771.460938,24221.539063,24221.539063,2079740100
2021-09-23,24614.140625,24827.460938,24313.679688,24510.980469,24510.980469,2711912400
2021-09-24,24487.240234,24636.640625,24095.789063,24192.160156,24192.160156,2014445100
2021-09-27,24131.419922,24509.000000,24131.419922,24208.779297,24208.779297,2323611100
2021-09-28,24323.000000,24679.460938,24232.980469,24500.390625,24500.390625,2457931200
2021-09-29,24276.710938,24694.460938,24045.990234,24663.500000,24663.500000,2150210800
2021-09-30,24494.259766,24660.679688,24346.750000,24575.640625,24575.640625,1580410200
2021-10-04,24478.679688,24478.679688,23908.050781,24036.369141,24036.369141,1596284900
2021-10-05,23771.650391,24180.080078,23681.439453,24104.150391,24104.150391,1716980100
2021-10-06,24259.199219,24259.199219,23812.349609,23966.490234,23966.490234,1878722300
2021-10-07,24339.320313,24741.279297,24310.109375,24701.730469,24701.730469,1764575500
2021-10-08,25064.800781,25064.800781,24595.580078,24837.849609,24837.849609,2359007900
2021-10-11,25161.800781,25437.160156,25161.800781,25325.089844,25325.089844,2114303500
2021-10-12,24995.949219,25188.779297,24865.800781,24962.589844,24962.589844,1835259400
2021-10-15,25187.050781,25330.960938,24929.560547,25330.960938,25330.960938,2345247700
2021-10-18,25425.320313,25425.320313,25123.250000,25409.750000,25409.750000,1648005300
2021-10-19,25471.250000,25808.619141,25458.029297,25787.210938,25787.210938,1671194600
2021-10-20,26074.199219,26214.630859,25915.619141,26136.019531,26136.019531,1823605200
2021-10-21,26141.849609,26229.800781,25840.589844,26017.529297,26017.529297,2085122100
2021-10-22,26114.839844,26195.289063,25976.029297,26126.929688,26126.929688,1699583700
2021-10-25,26020.779297,26212.900391,25929.669922,26132.029297,26132.029297,1455214700
2021-10-26,26234.939453,26234.939453,25905.080078,26038.269531,26038.269531,1533464400
2021-10-27,25795.169922,25795.169922,25555.169922,25628.740234,25628.740234,1620780100
2021-10-28,25648.419922,25736.380859,25473.160156,25555.730469,25555.730469,2021051100
2021-10-29,25466.859375,25516.220703,25314.240234,25377.240234,25377.240234,2051346200
2021-11-01,25268.349609,25270.410156,24972.500000,25154.320313,25154.320313,1586722800
2021-11-02,25609.009766,25639.660156,25030.689453,25099.669922,25099.669922,1964593300
2021-11-03,25060.929688,25187.089844,24808.589844,25024.750000,25024.750000,1690457100
2021-11-04,25141.099609,25244.980469,25010.359375,25225.189453,25225.189453,1639485100
2021-11-05,24950.679688,25049.369141,24724.390625,24870.509766,24870.509766,2020689200
2021-11-08,24743.539063,24837.769531,24633.570313,24763.769531,24763.769531,1762623700
2021-11-09,24952.820313,24956.369141,24678.660156,24813.130859,24813.130859,1154696200
2021-11-10,24787.439453,25013.109375,24481.259766,24996.140625,24996.140625,1688052600
2021-11-11,24856.109375,25324.660156,24836.210938,25247.990234,25247.990234,2001862500
2021-11-12,25522.830078,25527.130859,25210.560547,25327.970703,25327.970703,1632112200
2021-11-15,25437.990234,25483.259766,25230.330078,25390.910156,25390.910156,1155801200
2021-11-16,25446.650391,25746.710938,25410.869141,25713.779297,25713.779297,1528784400
2021-11-17,25667.810547,25667.810547,25520.669922,25650.080078,25650.080078,1193809400
2021-11-18,25369.880859,25414.210938,25222.599609,25319.720703,25319.720703,1342851200
2021-11-19,24934.400391,25077.150391,24825.429688,25049.970703,25049.970703,1640364600
